"","Site","NetType","NetTypeRep","Rep","DebitL","PartType","Polymer","Count","PPML1","Salinity"
"241","CSorel","Polym","Polymer-4","4",128722,"Sphere","Polypropylene",NA,NA,"CSorel"
"242","CSorel","Polym","Polymer-4","4",128722,"Sphere","Nylon",NA,NA,"CSorel"
"243","CSorel","Polym","Polymer-4","4",128722,"Sphere","Polystyrene",1,15.5373595811128,"CSorel"
"244","CSorel","Polym","Polymer-4","4",128722,"Sphere","Polyethylene+Polypropylene",NA,NA,"CSorel"
"245","CSorel","Polym","Polymer-4","4",128722,"Sphere","Polyvinyl acetate",NA,NA,"CSorel"
"246","CSorel","Polym","Polymer-4","4",128722,"Sphere","Polyvinyl acrylate",NA,NA,"CSorel"
"247","CSorel","Polym","Polymer-4","4",128722,"Sphere","Poly(acrylate-styrene)",NA,NA,"CSorel"
"248","CSorel","Polym","Polymer-4","4",128722,"Sphere","Polyacrylonitrile",NA,NA,"CSorel"
"249","CSorel","Polym","Polymer-4","4",128722,"Sphere","Ethylene vinyl acetate",NA,NA,"CSorel"
"250","CSorel","Polym","Polymer-4","4",128722,"Sphere","Polyether urethane",NA,NA,"CSorel"
"251","CSorel","Polym","Polymer-4","4",128722,"Sphere","Polyvinyl Chloride",NA,NA,"CSorel"
"252","CSorel","Polym","Polymer-4","4",128722,"Sphere","Poly(chloroprene)",NA,NA,"CSorel"
"253","CSorel","Polym","Polymer-4","4",128722,"Sphere","Poly(methyl methacrylate)",NA,NA,"CSorel"
"254","CSorel","Polym","Polymer-4","4",128722,"Sphere","Polyethylacrylate",NA,NA,"CSorel"
"255","CSorel","Polym","Polymer-4","4",128722,"Sphere","Silicone",NA,NA,"CSorel"
